11101000010000010000000000000110	260	ORI R1, R2, #6	
11101100010000010000000000000110	264	XORI R1, R2, #6	
11000000000000000000100000000000	268	ADD R1, R0, R0	
11100000000000100000000000000011	272	ADDI R2, R0, #3	
01001000001000100000000000010001	276	BEQ R1, R2, #68	
01100000000000011000000010000000	280	SLL R16, R1, #2	
01011110000000110000000101010100	284	LW R3, 340(R16)	
01011110000001000000000101101000	288	LW R4, 360(R16)	
01011110000001010000000101111100	292	LW R5, 380(R16)	
01001000101000000000000000000111	300	BEQ R5, R0, #28	
11000000011001000011000000000000	308	ADD R13, R0, R0	
01000000000000000000000001010001	316	J #324	
01100000000001010010100010000000	324	SLL R5, R5, #2	
01000000000000000000000001010001	328	J #324	
11100000101001010000000000001100	332	ADDI R5, R5, #12	
11100000001000010000000000000001	340	ADDI R1, R1, #1	
01000000000000000000000001000010	344	J #264	
01010100000000000000000000001101	348	BREAK	
